City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
185,belmonte,13,PT,1566947723,67,40.36,-7.35,73.99,1.79
186,northam,0,AU,1566947724,29,-31.65,116.67,62.6,13.87
187,hithadhoo,86,MV,1566947724,72,-0.6,73.08,83.14,11.21
188,port-gentil,40,GA,1566947666,88,-0.72,8.78,77.0,11.41
189,tessalit,7,ML,1566947724,49,20.2,1.01,87.1,8.08
190,oussouye,75,SN,1566947724,83,12.49,-16.54,80.6,4.7
191,berlevag,100,NO,1566947448,96,70.86,29.09,49.66,9.24
192,krasnoarmeysk,0,RU,1566947725,81,56.12,38.15,59.0,6.71
193,eureka,1,US,1566947498,60,40.8,-124.16,73.0,16.11
194,chokurdakh,97,RU,1566947725,78,70.62,147.9,39.58,10.16
195,huarmey,31,PE,1566947725,86,-10.07,-78.15,59.2,4.92
196,hammerfest,90,NO,1566947725,100,70.66,23.68,51.8,16.11
197,sechura,40,PE,1566947726,89,-5.56,-80.82,61.72,12.08
198,lebu,40,ET,1566947726,93,8.96,38.73,55.4,9.17
199,boa vista,0,BR,1566947719,52,2.82,-60.67,87.8,5.82
200,nola,86,CF,1566947726,97,3.52,16.05,68.74,1.59
201,ribeira grande,41,PT,1566947726,92,38.52,-28.7,71.44,13.18
202,kodiak,1,US,1566947726,50,39.95,-94.76,78.8,10.29
203,ballyshannon,100,IE,1566947727,95,54.5,-8.19,55.99,1.01
204,petropavlovsk-kamchatskiy,40,RU,1566947727,72,53.05,158.65,62.6,2.24
205,evensk,33,RU,1566947727,70,61.92,159.24,57.04,3.65
206,sosnogorsk,86,RU,1566947727,96,63.59,53.93,37.78,8.68
207,whitehorse,75,CA,1566947563,39,60.72,-135.06,62.6,5.82
208,valkeakoski,0,FI,1566947728,93,61.26,24.03,57.99,4.21
209,sao filipe,26,CV,1566947728,76,14.9,-24.5,79.9,5.41
210,fuling,100,CN,1566947728,90,29.71,107.39,77.56,0.96
211,luanda,75,AO,1566947728,94,-8.83,13.24,71.6,9.17
212,joigny,0,FR,1566947728,60,47.98,3.4,73.4,8.05
213,angoram,96,PG,1566947729,79,-4.06,144.07,81.88,2.82
214,alofi,75,NU,1566947729,83,-19.06,-169.92,78.8,6.93
215,inta,80,RU,1566947729,89,66.04,60.13,31.66,6.44
216,faya,0,SA,1566947729,51,18.39,42.45,66.2,4.7
217,longyearbyen,75,NO,1566947730,70,78.22,15.63,42.8,9.17
218,chulman,0,RU,1566947730,67,56.84,124.9,57.4,3.27
219,abu dhabi,0,AE,1566947715,43,24.47,54.37,93.2,1.12
220,bayan,96,CN,1566947730,85,36.1,102.26,53.62,0.22
221,palana,100,RU,1566947730,96,59.08,159.95,51.64,9.91
222,vila franca do campo,75,PT,1566947731,83,37.72,-25.43,73.4,5.82
223,lazaro cardenas,75,MX,1566947731,26,28.39,-105.62,91.4,17.22
224,tumut,0,AU,1566947731,64,-35.3,148.22,48.4,4.65
225,chipinge,0,ZW,1566947731,68,-20.19,32.62,64.06,6.2
226,adrar,40,DZ,1566947731,19,27.87,-0.29,98.6,6.11
227,kathmandu,75,NP,1566947732,94,27.71,85.32,71.6,2.24
228,balkhash,16,KZ,1566947732,50,46.84,74.98,70.18,9.31
229,portobelo,40,PA,1566947732,70,9.55,-79.65,86.0,2.24
230,bucerias,75,MX,1566947732,63,20.76,-105.33,95.0,14.99
231,shache,81,CN,1566947733,69,38.42,77.24,79.0,1.01
232,pleasanton,1,US,1566947501,13,37.66,-121.87,99.0,9.17
233,cam ranh,40,VN,1566947733,78,11.92,109.15,82.4,2.24
234,alice springs,0,AU,1566947537,39,-23.7,133.88,46.4,3.36
235,kuusankoski,0,FI,1566947733,87,60.91,26.62,57.2,1.12
236,saskylakh,100,RU,1566947733,90,71.97,114.09,55.06,7.56
237,cap malheureux,40,MU,1566947734,56,-19.98,57.61,72.0,10.29
238,muncar,83,ID,1566947734,84,-8.43,114.34,71.08,2.62
239,clyde river,1,CA,1566947734,70,70.47,-68.59,46.4,11.41
240,ayan,0,IR,1566947734,33,38.23,44.7,52.54,4.12
241,sterling,75,US,1566947735,61,39.0,-77.4,79.0,9.17
242,berdigestyakh,26,RU,1566947735,72,62.1,126.7,61.0,6.15
243,severo-kurilsk,62,RU,1566947735,96,50.68,156.12,48.22,10.85
244,castro,75,CL,1566947735,93,-42.48,-73.76,48.2,10.29
245,auch,16,FR,1566947736,88,43.65,0.59,68.0,3.36
246,calamar,92,CO,1566947736,87,1.96,-72.65,74.86,2.24
247,lindeberg,0,NO,1566947736,87,60.04,11.12,64.0,3.36
248,pangnirtung,20,CA,1566947736,54,66.15,-65.72,55.4,12.75
249,crystal beach,90,CA,1566947737,88,42.87,-79.06,73.0,10.29
250,saint-pierre,0,FR,1566947737,56,48.95,4.24,75.2,10.29
251,provideniya,90,RU,1566947737,87,64.42,-173.23,51.8,13.42
252,mahroni,97,IN,1566947737,93,24.59,78.73,75.94,3.91
253,santa marta,40,CO,1566947518,50,11.24,-74.21,95.0,13.87
254,lorengau,100,PG,1566947738,95,-2.02,147.27,76.48,13.6
255,komsomolskiy,1,RU,1566947738,91,67.55,63.78,32.92,13.73
256,hohhot,0,CN,1566947738,62,40.81,111.65,53.6,8.95
257,clinton,1,US,1566947738,72,41.28,-72.53,71.6,4.7
258,nara,75,JP,1566947738,94,34.68,135.8,78.8,14.99
259,mapimi,40,MX,1566947739,20,25.82,-103.85,98.6,12.75
260,nikolskoye,0,RU,1566947739,82,59.7,30.79,55.4,2.26
261,senneterre,90,CA,1566947739,93,48.39,-77.24,64.4,13.87
262,saint marys,90,US,1566947739,93,41.43,-78.56,66.99,4.7
263,inuvik,75,CA,1566947591,45,68.36,-133.71,62.6,11.41
264,odienne,100,CI,1566947740,93,9.51,-7.57,71.44,5.37
265,kozluk,0,TR,1566947740,63,38.17,41.5,64.4,4.7
266,itoman,40,JP,1566947740,79,26.12,127.67,86.0,11.41
267,mlonggo,20,ID,1566947740,78,-6.53,110.7,75.2,1.12
268,ternate,75,PH,1566947741,94,14.29,120.72,82.0,2.24
269,kavaratti,100,IN,1566947541,78,10.57,72.64,81.52,19.44
270,kokopo,0,PG,1566947741,58,-4.34,152.27,85.84,2.53
271,arona,100,IT,1566947741,94,45.76,8.56,80.01,1.12
272,pec,0,DE,1566947741,96,49.4,12.83,66.99,2.39
273,san ramon,40,NI,1566947741,61,12.92,-85.84,77.0,6.93
274,nanortalik,78,GL,1566947742,90,60.14,-45.24,42.1,3.09
275,boras,0,SE,1566947742,82,57.72,12.94,69.01,4.7
276,biak,96,ID,1566947742,86,-0.91,122.88,63.34,6.87
277,tazovskiy,100,RU,1566947742,97,67.47,78.7,45.34,20.18
278,horasan,0,TR,1566947742,79,40.04,42.16,56.14,1.68
279,buala,100,SB,1566947743,91,-8.15,159.59,76.66,8.81
280,raudeberg,7,NO,1566947743,88,61.99,5.14,64.4,5.82
281,narsaq,35,GL,1566947743,66,60.91,-46.05,48.2,3.36
282,itarema,0,BR,1566947743,75,-2.92,-39.92,76.84,11.32
283,vostok,100,RU,1566947743,98,46.45,135.83,59.38,2.26
284,sao gabriel da cachoeira,45,BR,1566947744,72,-0.13,-67.09,79.36,1.21
285,leh,67,IN,1566947744,67,34.16,77.58,45.16,1.19
286,vila,0,IT,1566947744,83,45.18,8.4,80.01,6.93
287,honiara,40,SB,1566947744,70,-9.43,159.96,87.8,6.93
288,esperance,97,AU,1566947745,65,-33.86,121.89,44.6,14.99
289,sarakhs,0,TM,1566947745,35,36.54,61.16,69.8,2.24
290,salalah,75,OM,1566947745,94,17.01,54.1,78.8,5.82
291,atakpame,100,TG,1566947745,95,7.53,1.13,71.08,1.52
292,la rioja,17,AR,1566947646,71,-29.41,-66.86,60.82,2.46
293,turangi,38,NZ,1566947746,51,-39.0,175.93,59.0,5.99
294,pierre,20,US,1566947647,37,44.37,-100.35,73.0,26.4
295,mahibadhoo,96,MV,1566947746,75,3.78,72.97,82.42,7.76
296,vertientes,40,CU,1566947746,62,21.26,-78.15,89.6,9.17
297,boguchany,0,RU,1566947746,77,58.38,97.46,51.64,4.12
298,ambilobe,0,MG,1566947747,74,-13.19,49.05,68.2,7.99
299,lensk,0,RU,1566947747,87,60.71,114.91,51.64,7.27
300,flinders,20,AU,1566947614,87,-34.58,150.85,60.01,8.05
301,beringovskiy,100,RU,1566947747,64,63.05,179.32,56.14,9.82
302,valente,28,BR,1566947659,82,-11.41,-39.46,66.4,7.34
303,ca mau,65,VN,1566947747,79,9.18,105.15,81.7,9.73
304,matara,0,BI,1566947748,82,-3.48,29.48,52.0,0.51
305,ostersund,0,SE,1566947748,68,63.18,14.64,64.4,9.17
306,mayma,100,RU,1566947748,81,52.0,85.9,59.02,3.22
307,seoul,40,KR,1566947748,94,37.57,126.98,75.2,1.12
308,maxixe,0,MZ,1566947748,95,-23.86,35.35,62.44,4.5
309,sao felix do xingu,12,BR,1566947749,34,-6.64,-51.99,77.2,2.66
310,teknaf,99,BD,1566947749,84,20.86,92.31,81.88,9.84
311,guaymas,5,MX,1566947749,67,27.92,-110.9,100.99,23.04
312,voh,39,NC,1566947749,72,-20.95,164.69,73.24,9.89
313,padang,100,ID,1566947749,85,-0.92,100.36,76.48,8.48
314,wakkanai,39,JP,1566947750,79,45.41,141.67,66.94,4.52
315,jumla,87,NP,1566947751,90,29.28,82.18,51.46,3.62
316,quelimane,0,MZ,1566947751,88,-17.88,36.89,69.8,5.82
317,ust-nera,90,RU,1566947751,60,64.57,143.24,49.3,3.76
318,anamur,0,TR,1566947752,94,36.08,32.84,73.4,3.36
319,malyye derbety,33,RU,1566947752,57,47.95,44.68,65.32,11.52
320,coari,61,BR,1566947752,55,-4.09,-63.14,85.12,2.51
321,jiuquan,0,CN,1566947752,32,39.73,98.49,68.02,7.99
322,nemuro,0,JP,1566947752,89,43.32,145.57,64.06,13.69
323,berberati,99,CF,1566947753,93,4.26,15.79,67.66,0.98
324,baykit,2,RU,1566947753,72,61.68,96.39,50.38,5.75
325,tefe,0,BR,1566947753,74,-3.35,-64.71,82.4,3.36
326,naraura,25,IN,1566947753,83,28.2,78.38,81.16,5.79
327,broken hill,0,AU,1566947754,53,-31.97,141.45,42.8,9.37
328,begoro,97,GH,1566947754,95,6.38,-0.38,68.92,5.35
329,payson,1,US,1566947473,9,40.04,-111.73,88.0,3.36
330,manica,0,MZ,1566947754,88,-18.94,32.88,64.4,4.7
331,lukovetskiy,0,RU,1566947755,100,64.29,41.92,37.4,2.24
332,jardim,5,BR,1566947755,49,-21.48,-56.15,74.32,4.79
333,klaksvik,83,FO,1566947755,93,62.23,-6.59,48.2,5.82
334,mgachi,100,RU,1566947755,91,51.05,142.27,60.82,13.76
335,cayenne,0,GF,1566947756,83,4.94,-52.33,80.6,3.36
336,cherdyn,100,RU,1566947756,96,60.4,56.48,41.2,14.58
337,port macquarie,40,AU,1566947484,93,-31.43,152.91,64.99,1.12
338,ankang,67,CN,1566947756,88,32.73,108.99,66.94,0.74
339,yakima,1,US,1566947685,18,46.6,-120.51,88.0,4.7
340,arlit,43,NE,1566947756,45,18.74,7.39,87.28,4.47
341,kalanaur,36,IN,1566947757,72,28.83,76.4,84.22,5.08
342,wasilla,1,US,1566947757,45,61.58,-149.44,69.8,3.36
343,maceio,20,BR,1566947757,83,-9.67,-35.74,73.4,4.7
344,krasnogvardeyskiy,100,RU,1566947757,89,57.38,62.32,47.68,6.46
